Phylum,Common name,Brooders/Spawniers,Family,Taxa,Species, pH.experim ,Perc.Fertilization,Insemination.mins,Fert.success.mins,Sperm.pre-exp-time,egg.pre-exp.time,pH.control,pH.delta,pH.category,Sperm.per.uL,Sperm.per.mL,sperm:egg,n.females,n.males,Other,Data source,Notes/other treat,DOI,Author,Yeear
Cnidaria,Brush Coral,Spawner,Acroporidae,coral,Acropora hyacinthus,8.15,99,180,180,0,0,8.15,0,,,"100,000.00",50000,1,1,used engauge digitizer,,temp = 27,,"M. Schutter, Y. Nozawa, H. Kurihara, 2009",2015
Cnidaria,Brush Coral,Spawner,Acroporidae,coral,Acropora hyacinthus,7.85,90,180,180,0,0,8.15,-0.3,,,"100,000.00",50000,1,1,used engauge digitizer,,temp = 27,,"M. Schutter, Y. Nozawa, H. Kurihara, 2009",2015
Cnidaria,Brush Coral,Spawner,Acroporidae,coral,Acropora hyacinthus,8.15,42,180,180,0,0,8.15,0,,,"100,000.00",50000,1,1,used engauge digitizer,,temp = 27,,"M. Schutter, Y. Nozawa, H. Kurihara, 2009",2015
Cnidaria,Brush Coral,Spawner,Acroporidae,coral,Acropora hyacinthus,7.85,48,180,180,0,0,8.15,-0.3,,,"100,000.00",50000,1,1,used engauge digitizer,,temp = 27,,"M. Schutter, Y. Nozawa, H. Kurihara, 2009",2015
Cnidaria,Larger Star Coral,Spawner,Merulinidae,coral,Favites abdita,8.15,87,180,180,0,0,8.15,0,,,"100,000.00",50000,1,1,used engauge digitizer,,temp = 27,,"M. Schutter, Y. Nozawa, H. Kurihara, 2009",2015
Cnidaria,Larger Star Coral,Spawner,Merulinidae,coral,Favites abdita,7.85,86,180,180,0,0,8.15,-0.3,,,"100,000.00",50000,1,1,used engauge digitizer,,temp = 27,,"M. Schutter, Y. Nozawa, H. Kurihara, 2009",2015
Cnidaria,NA (stony coral),Spawner,Merulinidae,coral,Platygyra contorta,8.15,97,180,180,0,0,8.15,0,,,"100,000.00",50000,1,1,used engauge digitizer,,temp = 27,,"M. Schutter, Y. Nozawa, H. Kurihara, 2009",2015
Cnidaria,NA (stony coral),Spawner,Merulinidae,coral,Platygyra contorta,7.85,98,180,180,0,0,8.15,-0.3,,,"100,000.00",50000,1,1,used engauge digitizer,,temp = 27,,"M. Schutter, Y. Nozawa, H. Kurihara, 2009",2015
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,8.03,57,420,420,NA,NA,8.03,0,,,"3,000,000.00",1600000,3,3,same data as 2010 study,,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,NA,43,420,420,NA,NA,8.03,#VALUE!,,,"3,000,000.00",NA,NA,NA,same data as 2010 study,,temp = 28,,"R. Albright, 2011",2011
